Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_010784587.1,replication-associated protein,Grasshopper associated circular virus 1,Gemykolovirus easlu1,Gemykolovirus,Genomoviridae,,FL_SDBVL,367,"USA: St. Petersburg, FL",USA,Romalea microptera,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2011,2023-05-04,ssDNA
YP_010784588.1,capsid protein,Momordica charantia associated gemycircularvirus,Gemycircularvirus mocha1,Gemycircularvirus,Genomoviridae,,Br1,307,Brazil,Brazil,Momordica charantia,plant leaf,"de Rezende,R.R., Mar,T.B., Paez,L.M., Silva Xavier,A.D., Xavier,C.A., Navas-Castillo,J., Zerbini,F.M., Alfenas-Zerbini,P., Rezende,R.R., Paez,L.M.C., Xavier,A.S., Xavier,C.A.D., Navas-Castilho,J.",2018-03-05,2023-05-04,ssDNA
YP_010784589.1,replication-associated protein,Momordica charantia associated gemycircularvirus,Gemycircularvirus mocha1,Gemycircularvirus,Genomoviridae,,Br1,337,Brazil,Brazil,Momordica charantia,plant leaf,"de Rezende,R.R., Mar,T.B., Paez,L.M., Silva Xavier,A.D., Xavier,C.A., Navas-Castillo,J., Zerbini,F.M., Alfenas-Zerbini,P., Rezende,R.R., Paez,L.M.C., Xavier,A.S., Xavier,C.A.D., Navas-Castilho,J.",2018-03-05,2023-05-04,ssDNA
YP_010784590.1,capsid protein,Bark beetle-associated genomovirus 4,Gemycircularvirus denbre4,Gemycircularvirus,Genomoviridae,,BbaGV-4_US-AB02_249-2014,311,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784591.1,replication-associated protein,Bark beetle-associated genomovirus 4,Gemycircularvirus denbre4,Gemycircularvirus,Genomoviridae,,BbaGV-4_US-AB02_249-2014,320,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784592.1,capsid protein,Bark beetle-associated genomovirus 3,Gemycircularvirus denbre3,Gemycircularvirus,Genomoviridae,,BbaGV-3_US-AB02_1323-2014,313,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784593.1,replication-associated protein,Bark beetle-associated genomovirus 3,Gemycircularvirus denbre3,Gemycircularvirus,Genomoviridae,,BbaGV-3_US-AB02_1323-2014,336,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784594.1,capsid protein,Bark beetle-associated genomovirus 2,Gemycircularvirus denbre2,Gemycircularvirus,Genomoviridae,,BbaGV-2_US-AB02_1133-2014,310,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784595.1,replication-associated protein,Bark beetle-associated genomovirus 2,Gemycircularvirus denbre2,Gemycircularvirus,Genomoviridae,,BbaGV-2_US-AB02_1133-2014,320,USA,USA,Dendroctonus brevicomis,,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.",2014,2023-05-04,ssDNA
YP_010784596.1,capsid protein,Lepus americanus faeces associated genomovirus SHP9,Gemycircularvirus lepam3,Gemycircularvirus,Genomoviridae,,SHP9,311,USA,USA,Lepus americanus,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784597.1,replication associated protein,Lepus americanus faeces associated genomovirus SHP9,Gemycircularvirus lepam3,Gemycircularvirus,Genomoviridae,,SHP9,307,USA,USA,Lepus americanus,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784598.1,capsid protein,Alces alces faeces associated genomovirus MP157,Gemycircularvirus alces2,Gemycircularvirus,Genomoviridae,,MP157,308,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784599.1,replication associated protein,Alces alces faeces associated genomovirus MP157,Gemycircularvirus alces2,Gemycircularvirus,Genomoviridae,,MP157,319,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784600.1,capsid protein,Alces alces faeces associated genomovirus MP111,Gemycircularvirus lepam1,Gemycircularvirus,Genomoviridae,,MP111,312,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784601.1,replication associated protein,Alces alces faeces associated genomovirus MP111,Gemycircularvirus lepam1,Gemycircularvirus,Genomoviridae,,MP111,307,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784602.1,capsid protein,Alces alces faeces associated genomovirus MP84,Gemycircularvirus alces1,Gemycircularvirus,Genomoviridae,,MP84,310,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784603.1,replication associated protein,Alces alces faeces associated genomovirus MP84,Gemycircularvirus alces1,Gemycircularvirus,Genomoviridae,,MP84,310,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784604.1,capsid protein,Alces alces faeces associated genomovirus MP68,Gemykolovirus lepam1,Gemykolovirus,Genomoviridae,,MP68,312,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784605.1,replication associated protein,Alces alces faeces associated genomovirus MP68,Gemykolovirus lepam1,Gemykolovirus,Genomoviridae,,MP68,321,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784606.1,capsid protein,Alces alces faeces associated genomovirus MP43,Gemycircularvirus lepam2,Gemycircularvirus,Genomoviridae,,MP43,319,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784607.1,replication associated protein,Alces alces faeces associated genomovirus MP43,Gemycircularvirus lepam2,Gemycircularvirus,Genomoviridae,,MP43,307,USA,USA,Alces alces,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784608.1,capsid protein,Lynx canadensis faeces associated genomovirus CL5 48,Gemycircularvirus lynca3,Gemycircularvirus,Genomoviridae,,CL5_48,322,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-02-19,2023-05-04,ssDNA
YP_010784609.1,replication associated protein,Lynx canadensis faeces associated genomovirus CL5 48,Gemycircularvirus lynca3,Gemycircularvirus,Genomoviridae,,CL5_48,310,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-02-19,2023-05-04,ssDNA
YP_010784610.1,capsid protein,Lynx canadensis faeces associated genomovirus CL1 71,Gemycircularvirus lynca2,Gemycircularvirus,Genomoviridae,,CL1_71,313,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784611.1,replication associated protein,Lynx canadensis faeces associated genomovirus CL1 71,Gemycircularvirus lynca2,Gemycircularvirus,Genomoviridae,,CL1_71,317,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784612.1,capsid protein,Lynx canadensis faeces associated genomovirus CL1 46,Gemycircularvirus lepa2,Gemycircularvirus,Genomoviridae,,CL1_46,312,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784613.1,replication associated protein,Lynx canadensis faeces associated genomovirus CL1 46,Gemycircularvirus lepa2,Gemycircularvirus,Genomoviridae,,CL1_46,307,USA,USA,Lynx canadensis,feces,"Kraberger,S., Ivan,J., Newkirk,E., Waits,K., Crooks,K., VandeWoude,S., Varsani,A.",2016-03-22,2023-05-04,ssDNA
YP_010784614.1,capsid,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,,315,Hungary,Hungary,Pipistrellus pygmaeus,feces,"Kemenesi,G., Kurucz,K., Zana,B., Foldes,F., Urban,P., Vlaschenko,A., Kravchenko,K., Budinski,I., Szodoray-Paradi,F., Szodoray-Paradi,A., Bucs,S., Jere,C., Csosz,I., Estok,P., Gorfol,T., Boldogh,S., Nemeth,V., Banyai,K., Jakab,F.",2013,2023-05-04,ssDNA
YP_010784615.1,replication-associated protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,,328,Hungary,Hungary,Pipistrellus pygmaeus,feces,"Kemenesi,G., Kurucz,K., Zana,B., Foldes,F., Urban,P., Vlaschenko,A., Kravchenko,K., Budinski,I., Szodoray-Paradi,F., Szodoray-Paradi,A., Bucs,S., Jere,C., Csosz,I., Estok,P., Gorfol,T., Boldogh,S., Nemeth,V., Banyai,K., Jakab,F.",2013,2023-05-04,ssDNA
YP_010784616.1,RepA,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,,192,Hungary,Hungary,Pipistrellus pygmaeus,feces,"Kemenesi,G., Kurucz,K., Zana,B., Foldes,F., Urban,P., Vlaschenko,A., Kravchenko,K., Budinski,I., Szodoray-Paradi,F., Szodoray-Paradi,A., Bucs,S., Jere,C., Csosz,I., Estok,P., Gorfol,T., Boldogh,S., Nemeth,V., Banyai,K., Jakab,F.",2013,2023-05-04,ssDNA
YP_010784617.1,replication-associated protein,Cattle blood-associated gemycircularvirus,Gemykibivirus cowchi1,Gemykibivirus,Genomoviridae,,,250,China,China,,blood,"Wang,H., Li,S., Mahmood,A., Yang,S., Wang,X., Shen,Q., Shan,T., Deng,X., Li,J., Hua,X., Cui,L., Delwart,E., Zhang,W.",2016,2023-05-04,ssDNA
YP_010784618.1,putative ORF3 protein,Cattle blood-associated gemycircularvirus,Gemykibivirus cowchi1,Gemykibivirus,Genomoviridae,,,184,China,China,,blood,"Wang,H., Li,S., Mahmood,A., Yang,S., Wang,X., Shen,Q., Shan,T., Deng,X., Li,J., Hua,X., Cui,L., Delwart,E., Zhang,W.",2016,2023-05-04,ssDNA
YP_010784619.1,capsid protein,Cattle blood-associated gemycircularvirus,Gemykibivirus cowchi1,Gemykibivirus,Genomoviridae,,,295,China,China,,blood,"Wang,H., Li,S., Mahmood,A., Yang,S., Wang,X., Shen,Q., Shan,T., Deng,X., Li,J., Hua,X., Cui,L., Delwart,E., Zhang,W.",2016,2023-05-04,ssDNA
YP_010784620.1,replication-associated protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,yc-19,309,China,China,Grus japonensis,feces,"Yang,S., Wang,Y., Zhang,W.",2014-12,2023-05-04,ssDNA
YP_010784621.1,capsid protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,yc-19,281,China,China,Grus japonensis,feces,"Yang,S., Wang,Y., Zhang,W.",2014-12,2023-05-04,ssDNA
YP_010784622.1,capsid protein,Tick-associated genomovirus 3,Gemycircularvirus ixode1,Gemycircularvirus,Genomoviridae,,tick25_VL-10,310,USA,USA,Ixodes scapularis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784623.1,replication-associated protein,Tick-associated genomovirus 3,Gemycircularvirus ixode1,Gemycircularvirus,Genomoviridae,,tick25_VL-10,333,USA,USA,Ixodes scapularis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784624.1,RepA,Tick-associated genomovirus 3,Gemycircularvirus ixode1,Gemycircularvirus,Genomoviridae,,tick25_VL-10,377,USA,USA,Ixodes scapularis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784625.1,capsid protein,Tick-associated genomovirus 2,Gemykolovirus derva1,Gemykolovirus,Genomoviridae,,tick24_130,310,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784626.1,replication-associated protein,Tick-associated genomovirus 2,Gemykolovirus derva1,Gemykolovirus,Genomoviridae,,tick24_130,337,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784627.1,RepA,Tick-associated genomovirus 2,Gemykolovirus derva1,Gemykolovirus,Genomoviridae,,tick24_130,239,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784628.1,capsid protein,Tick-associated genomovirus 1,Gemycircularvirus derva1,Gemycircularvirus,Genomoviridae,,tick24_7,339,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784629.1,replication-associated protein,Tick-associated genomovirus 1,Gemycircularvirus derva1,Gemycircularvirus,Genomoviridae,,tick24_7,339,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784630.1,RepA,Tick-associated genomovirus 1,Gemycircularvirus derva1,Gemycircularvirus,Genomoviridae,,tick24_7,240,USA,USA,Dermacentor variabilis,,"Waits,K., Edwards,M., Fontenele,R.S., Varsani,A.",2016,2023-05-04,ssDNA
YP_010784631.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,295,China,China,,oronasopharynx,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784632.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,214,China,China,,oronasopharynx,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784633.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,254,China,China,,oronasopharynx,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784634.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,343,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784635.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,189,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784636.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,289,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784637.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,316,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784638.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,220,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784639.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,350,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784640.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,324,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784641.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,231,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784642.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,304,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784643.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,277,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
